,date,admits
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,1
24,3/12/20,0
25,3/13/20,1
26,3/14/20,0
27,3/15/20,0
28,3/16/20,1
29,3/17/20,1
30,3/18/20,1
31,3/19/20,2
32,3/20/20,3
33,3/21/20,2
34,3/22/20,4
35,3/23/20,5
36,3/24/20,5
37,3/25/20,5
38,3/26/20,12
39,3/27/20,9
40,3/28/20,4
41,3/29/20,10
42,3/30/20,10
43,3/31/20,14
44,4/1/20,9
45,4/2/20,10
46,4/3/20,8
47,4/4/20,10
48,4/5/20,7
49,4/6/20,6
50,4/7/20,6
51,4/8/20,14
52,4/9/20,12
53,4/10/20,4
54,4/11/20,4
55,4/12/20,14
56,4/13/20,10
57,4/14/20,11
58,4/15/20,7
59,4/16/20,8
60,4/17/20,11
61,4/18/20,8
62,4/19/20,5
63,4/20/20,14
64,4/21/20,9
65,4/22/20,7
66,4/23/20,11
67,4/24/20,10
68,4/25/20,4
69,4/26/20,11
70,4/27/20,15
71,4/28/20,13
72,4/29/20,11
73,4/30/20,7
74,5/1/20,7
75,5/2/20,8
76,5/3/20,7
77,5/4/20,11
78,5/5/20,12
79,5/6/20,12
80,5/7/20,9
81,5/8/20,9
82,5/9/20,5
83,5/10/20,7
84,5/11/20,13
85,5/12/20,7
86,5/13/20,14
87,5/14/20,17
88,5/15/20,13
89,5/16/20,13
90,5/17/20,7
91,5/18/20,12
92,5/19/20,9
93,5/20/20,10
94,5/21/20,9
95,5/22/20,6
96,5/23/20,4
97,5/24/20,14
98,5/25/20,11
99,5/26/20,13
100,5/27/20,5
101,5/28/20,16
102,5/29/20,11
103,5/30/20,4
104,5/31/20,18
105,6/1/20,12
106,6/2/20,17
107,6/3/20,11
108,6/4/20,13
109,6/5/20,8
110,6/6/20,14
111,6/7/20,9
112,6/8/20,15
113,6/9/20,26
114,6/10/20,21
115,6/11/20,31
116,6/12/20,25
117,6/13/20,30
118,6/14/20,27
119,6/15/20,22
120,6/16/20,27
121,6/17/20,41
122,6/18/20,37
123,6/19/20,38
124,6/20/20,38
125,6/21/20,38
126,6/22/20,56
127,6/23/20,78
128,6/24/20,57
129,6/25/20,61
130,6/26/20,61
131,6/27/20,65
132,6/28/20,60
133,6/29/20,68
134,6/30/20,65
135,7/1/20,91
136,7/2/20,77
137,7/3/20,75
138,7/4/20,68
139,7/5/20,75
140,7/6/20,73
141,7/7/20,67
142,7/8/20,66
143,7/9/20,66
144,7/10/20,73
145,7/11/20,73
146,7/12/20,68
147,7/13/20,74
148,7/14/20,78
149,7/15/20,62
150,7/16/20,64
151,7/17/20,77
152,7/18/20,63
153,7/19/20,43
154,7/20/20,57
155,7/21/20,58
156,7/22/20,56
157,7/23/20,47
158,7/24/20,48
159,7/25/20,29
160,7/26/20,34
161,7/27/20,38
162,7/28/20,37
163,7/29/20,46
164,7/30/20,32
165,7/31/20,41
166,8/1/20,26
167,8/2/20,36
168,8/3/20,41
169,8/4/20,44
170,8/5/20,31
171,8/6/20,24
172,8/7/20,43
173,8/8/20,28
174,8/9/20,19
175,8/10/20,46
176,8/11/20,38
177,8/12/20,32
178,8/13/20,22
179,8/14/20,38
180,8/15/20,26
181,8/16/20,27
182,8/17/20,23
183,8/18/20,23
184,8/19/20,30
185,8/20/20,20
186,8/21/20,19
187,8/22/20,18
188,8/23/20,15
189,8/24/20,22
190,8/25/20,13
191,8/26/20,25
192,8/27/20,16
193,8/28/20,24
194,8/29/20,17
195,8/30/20,12
196,8/31/20,18
197,9/1/20,13
198,9/2/20,26
199,9/3/20,21
200,9/4/20,22
201,9/5/20,18
202,9/6/20,15
203,9/7/20,14
204,9/8/20,9
205,9/9/20,21
206,9/10/20,18
207,9/11/20,21
208,9/12/20,10
209,9/13/20,11
210,9/14/20,11
211,9/15/20,5
212,9/16/20,17
213,9/17/20,20
214,9/18/20,9
215,9/19/20,15
216,9/20/20,23
217,9/21/20,17
218,9/22/20,9
219,9/23/20,20
220,9/24/20,13
221,9/25/20,14
222,9/26/20,14
223,9/27/20,4
224,9/28/20,9
225,9/29/20,17
226,9/30/20,15
227,10/1/20,14
228,10/2/20,12
229,10/3/20,13
230,10/4/20,9
231,10/5/20,17
232,10/6/20,12
