,date,admits
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,1
30,3/18/20,1
31,3/19/20,1
32,3/20/20,1
33,3/21/20,1
34,3/22/20,2
35,3/23/20,3
36,3/24/20,3
37,3/25/20,4
38,3/26/20,5
39,3/27/20,6
40,3/28/20,6
41,3/29/20,7
42,3/30/20,8
43,3/31/20,9
44,4/1/20,10
45,4/2/20,9
46,4/3/20,9
47,4/4/20,10
48,4/5/20,10
49,4/6/20,9
50,4/7/20,8
51,4/8/20,9
52,4/9/20,9
53,4/10/20,8
54,4/11/20,8
55,4/12/20,9
56,4/13/20,9
57,4/14/20,10
58,4/15/20,9
59,4/16/20,8
60,4/17/20,9
61,4/18/20,10
62,4/19/20,9
63,4/20/20,9
64,4/21/20,9
65,4/22/20,9
66,4/23/20,9
67,4/24/20,9
68,4/25/20,9
69,4/26/20,9
70,4/27/20,10
71,4/28/20,10
72,4/29/20,11
73,4/30/20,10
74,5/1/20,10
75,5/2/20,10
76,5/3/20,10
77,5/4/20,9
78,5/5/20,9
79,5/6/20,9
80,5/7/20,9
81,5/8/20,10
82,5/9/20,9
83,5/10/20,9
84,5/11/20,10
85,5/12/20,9
86,5/13/20,9
87,5/14/20,10
88,5/15/20,11
89,5/16/20,12
90,5/17/20,12
91,5/18/20,12
92,5/19/20,12
93,5/20/20,12
94,5/21/20,10
95,5/22/20,9
96,5/23/20,8
97,5/24/20,9
98,5/25/20,9
99,5/26/20,10
100,5/27/20,9
101,5/28/20,10
102,5/29/20,11
103,5/30/20,11
104,5/31/20,11
105,6/1/20,11
106,6/2/20,12
107,6/3/20,13
108,6/4/20,12
109,6/5/20,12
110,6/6/20,13
111,6/7/20,12
112,6/8/20,12
113,6/9/20,14
114,6/10/20,15
115,6/11/20,18
116,6/12/20,20
117,6/13/20,22
118,6/14/20,25
119,6/15/20,26
120,6/16/20,26
121,6/17/20,29
122,6/18/20,30
123,6/19/20,32
124,6/20/20,33
125,6/21/20,34
126,6/22/20,39
127,6/23/20,47
128,6/24/20,49
129,6/25/20,52
130,6/26/20,56
131,6/27/20,59
132,6/28/20,63
133,6/29/20,64
134,6/30/20,62
135,7/1/20,67
136,7/2/20,70
137,7/3/20,72
138,7/4/20,72
139,7/5/20,74
140,7/6/20,75
141,7/7/20,75
142,7/8/20,72
143,7/9/20,70
144,7/10/20,70
145,7/11/20,70
146,7/12/20,69
147,7/13/20,70
148,7/14/20,71
149,7/15/20,71
150,7/16/20,70
151,7/17/20,71
152,7/18/20,69
153,7/19/20,66
154,7/20/20,63
155,7/21/20,61
156,7/22/20,60
157,7/23/20,57
158,7/24/20,53
159,7/25/20,48
160,7/26/20,47
161,7/27/20,44
162,7/28/20,41
163,7/29/20,40
164,7/30/20,38
165,7/31/20,37
166,8/1/20,36
167,8/2/20,37
168,8/3/20,37
169,8/4/20,38
170,8/5/20,36
171,8/6/20,35
172,8/7/20,35
173,8/8/20,35
174,8/9/20,33
175,8/10/20,34
176,8/11/20,33
177,8/12/20,33
178,8/13/20,33
179,8/14/20,32
180,8/15/20,32
181,8/16/20,33
182,8/17/20,29
183,8/18/20,27
184,8/19/20,27
185,8/20/20,27
186,8/21/20,24
187,8/22/20,23
188,8/23/20,21
189,8/24/20,21
190,8/25/20,20
191,8/26/20,19
192,8/27/20,18
193,8/28/20,19
194,8/29/20,19
195,8/30/20,18
196,8/31/20,18
197,9/1/20,18
198,9/2/20,18
199,9/3/20,19
