,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,0
30,3/18/20,0
31,3/19/20,0
32,3/20/20,0
33,3/21/20,1
34,3/22/20,0
35,3/23/20,1
36,3/24/20,1
37,3/25/20,9
38,3/26/20,8
39,3/27/20,9
40,3/28/20,11
41,3/29/20,12
42,3/30/20,17
43,3/31/20,23
44,4/1/20,29
45,4/2/20,31
46,4/3/20,37
47,4/4/20,43
48,4/5/20,43
49,4/6/20,41
50,4/7/20,40
51,4/8/20,41
52,4/9/20,42
53,4/10/20,48
54,4/11/20,44
55,4/12/20,50
56,4/13/20,48
57,4/14/20,41
58,4/15/20,41
59,4/16/20,39
60,4/17/20,35
61,4/18/20,36
62,4/19/20,37
63,4/20/20,35
64,4/21/20,31
65,4/22/20,34
66,4/23/20,36
67,4/24/20,34
68,4/25/20,32
69,4/26/20,35
70,4/27/20,36
71,4/28/20,36
72,4/29/20,35
73,4/30/20,39
74,5/1/20,34
75,5/2/20,35
76,5/3/20,33
77,5/4/20,32
78,5/5/20,33
79,5/6/20,32
80,5/7/20,36
81,5/8/20,36
82,5/9/20,39
83,5/10/20,36
84,5/11/20,34
85,5/12/20,31
86,5/13/20,35
87,5/14/20,34
88,5/15/20,36
89,5/16/20,35
90,5/17/20,35
91,5/18/20,39
92,5/19/20,38
93,5/20/20,39
94,5/21/20,38
95,5/22/20,40
96,5/23/20,39
97,5/24/20,42
98,5/25/20,41
99,5/26/20,41
100,5/27/20,38
101,5/28/20,39
102,5/29/20,34
103,5/30/20,35
104,5/31/20,40
105,6/1/20,40
106,6/2/20,41
107,6/3/20,39
108,6/4/20,38
109,6/5/20,37
110,6/6/20,36
111,6/7/20,40
112,6/8/20,38
113,6/9/20,36
114,6/10/20,44
115,6/11/20,46
116,6/12/20,49
117,6/13/20,48
118,6/14/20,52
119,6/15/20,52
120,6/16/20,59
121,6/17/20,63
122,6/18/20,63
123,6/19/20,64
124,6/20/20,71
125,6/21/20,84
126,6/22/20,86
127,6/23/20,94
128,6/24/20,106
129,6/25/20,109
130,6/26/20,114
131,6/27/20,114
132,6/28/20,114
133,6/29/20,121
134,6/30/20,132
135,7/1/20,133
136,7/2/20,145
137,7/3/20,151
138,7/4/20,156
139,7/5/20,137
140,7/6/20,140
141,7/7/20,148
142,7/8/20,149
143,7/9/20,132
144,7/10/20,133
145,7/11/20,134
146,7/12/20,151
147,7/13/20,151
148,7/14/20,154
149,7/15/20,159
150,7/16/20,151
151,7/17/20,158
152,7/18/20,151
153,7/19/20,158
154,7/20/20,158
155,7/21/20,153
156,7/22/20,160
157,7/23/20,150
158,7/24/20,148
159,7/25/20,151
160,7/26/20,145
161,7/27/20,140
162,7/28/20,133
163,7/29/20,128
164,7/30/20,131
165,7/31/20,127
166,8/1/20,119
167,8/2/20,119
168,8/3/20,114
169,8/4/20,113
170,8/5/20,111
171,8/6/20,106
172,8/7/20,105
173,8/8/20,96
174,8/9/20,98
175,8/10/20,101
176,8/11/20,98
177,8/12/20,98
178,8/13/20,92
179,8/14/20,89
180,8/15/20,86
181,8/16/20,83
182,8/17/20,83
183,8/18/20,79
184,8/19/20,78
185,8/20/20,73
186,8/21/20,67
187,8/22/20,63
188,8/23/20,63
189,8/24/20,58
190,8/25/20,59
191,8/26/20,57
192,8/27/20,58
193,8/28/20,57
194,8/29/20,57
195,8/30/20,52
196,8/31/20,51
197,9/1/20,48
198,9/2/20,44
199,9/3/20,48
200,9/4/20,47
201,9/5/20,43
202,9/6/20,42
203,9/7/20,41
204,9/8/20,42
205,9/9/20,40
206,9/10/20,38
207,9/11/20,34
208,9/12/20,37
209,9/13/20,37
210,9/14/20,34
211,9/15/20,33
212,9/16/20,29
213,9/17/20,26
214,9/18/20,20
215,9/19/20,27
216,9/20/20,27
217,9/21/20,32
218,9/22/20,30
219,9/23/20,28
220,9/24/20,30
221,9/25/20,27
222,9/26/20,24
223,9/27/20,24
224,9/28/20,19
225,9/29/20,18
226,9/30/20,22
227,10/1/20,26
228,10/2/20,24
229,10/3/20,26
230,10/4/20,27
231,10/5/20,25
232,10/6/20,27
233,10/7/20,27
