,date,hospitalized
1,2/19/20,0
2,2/20/20,0
3,2/21/20,0
4,2/22/20,0
5,2/23/20,0
6,2/24/20,0
7,2/25/20,0
8,2/26/20,0
9,2/27/20,0
10,2/28/20,0
11,2/29/20,0
12,3/1/20,0
13,3/2/20,0
14,3/3/20,0
15,3/4/20,0
16,3/5/20,0
17,3/6/20,0
18,3/7/20,0
19,3/8/20,0
20,3/9/20,0
21,3/10/20,0
22,3/11/20,0
23,3/12/20,0
24,3/13/20,0
25,3/14/20,0
26,3/15/20,0
27,3/16/20,0
28,3/17/20,0
29,3/18/20,0
30,3/19/20,0
31,3/20/20,0
32,3/21/20,0
33,3/22/20,0
34,3/23/20,0
35,3/24/20,0
36,3/25/20,0
37,3/26/20,0
38,3/27/20,0
39,3/28/20,0
40,3/29/20,0
41,3/30/20,0
42,3/31/20,0
43,4/1/20,0
44,4/2/20,0
45,4/3/20,674
46,4/4/20,812
47,4/5/20,765
48,4/6/20,754
49,4/7/20,892
50,4/8/20,881
51,4/9/20,984
52,4/10/20,933
53,4/11/20,830
54,4/12/20,634
55,4/13/20,935
56,4/14/20,922
57,4/15/20,843
58,4/16/20,802
59,4/17/20,674
60,4/18/20,890
61,4/19/20,819
62,4/20/20,862
63,4/21/20,834
64,4/22/20,866
65,4/23/20,827
66,4/24/20,819
67,4/25/20,795
68,4/26/20,800
69,4/27/20,826
70,4/28/20,860
71,4/29/20,758
72,4/30/20,825
73,5/1/20,778
74,5/2/20,590
75,5/3/20,740
76,5/4/20,842
77,5/5/20,822
78,5/6/20,722
79,5/7/20,709
80,5/8/20,716
81,5/9/20,752
82,5/10/20,624
83,5/11/20,665
84,5/12/20,702
85,5/13/20,672
86,5/14/20,689
87,5/15/20,806
88,5/16/20,658
89,5/17/20,673
90,5/18/20,733
91,5/19/20,816
92,5/20/20,813
93,5/21/20,763
94,5/22/20,601
95,5/23/20,723
96,5/24/20,705
97,5/25/20,695
98,5/26/20,688
99,5/27/20,700
100,5/28/20,746
101,5/29/20,739
102,5/30/20,678
103,5/31/20,736
104,6/1/20,837
105,6/2/20,866
106,6/3/20,882
107,6/4/20,899
108,6/5/20,806
109,6/6/20,883
110,6/7/20,872
111,6/8/20,924
112,6/9/20,1004
113,6/10/20,961
114,6/11/20,1004
115,6/12/20,1017
116,6/13/20,1054
117,6/14/20,1138
118,6/15/20,1146
119,6/16/20,1316
120,6/17/20,1382
121,6/18/20,1541
122,6/19/20,1496
123,6/20/20,1615
124,6/21/20,1598
125,6/22/20,1759
126,6/23/20,2020
127,6/24/20,2125
128,6/25/20,2269
129,6/26/20,2342
130,6/27/20,2443
131,6/28/20,2563
132,6/29/20,2715
133,6/30/20,2846
134,7/1/20,2792
135,7/2/20,2979
136,7/3/20,2872
137,7/4/20,3119
138,7/5/20,3237
139,7/6/20,3232
140,7/7/20,3593
141,7/8/20,3385
142,7/9/20,3569
143,7/10/20,3634
144,7/11/20,3521
145,7/12/20,3474
146,7/13/20,3529
147,7/14/20,3607
148,7/15/20,3631
149,7/16/20,3473
150,7/17/20,3434
151,7/18/20,3425
152,7/19/20,3187
153,7/20/20,3373
154,7/21/20,3336
155,7/22/20,3074
156,7/23/20,3134
157,7/24/20,3058
158,7/25/20,2958
159,7/26/20,2793
160,7/27/20,2895
161,7/28/20,2962
162,7/29/20,2799
163,7/30/20,2689
164,7/31/20,2434
165,8/1/20,2399
166,8/2/20,2329
167,8/3/20,2305
168,8/4/20,2380
169,8/5/20,2296
170,8/6/20,2250
171,8/7/20,2250
172,8/8/20,2066
173,8/9/20,1943
174,8/10/20,1868
175,8/11/20,1910
176,8/12/20,1900
177,8/13/20,1829
178,8/14/20,1824
179,8/15/20,1710
180,8/16/20,1560
181,8/17/20,1688
182,8/18/20,1693
183,8/19/20,1453
184,8/20/20,1468
185,8/21/20,1429
186,8/22/20,1379
187,8/23/20,1295
188,8/24/20,1255
189,8/25/20,1319
190,8/26/20,1162
191,8/27/20,1159
192,8/28/20,1137
193,8/29/20,1031
194,8/30/20,1066
195,8/31/20,1039
196,9/1/20,1141
197,9/2/20,1065
198,9/3/20,1020
199,9/4/20,1014
200,9/5/20,1018
201,9/6/20,887
202,9/7/20,886
203,9/8/20,881
204,9/9/20,936
205,9/10/20,905
206,9/11/20,895
207,9/12/20,856
208,9/13/20,787
209,9/14/20,798
210,9/15/20,836
211,9/16/20,818
212,9/17/20,738
213,9/18/20,741
214,9/19/20,729
215,9/20/20,671
216,9/21/20,681
217,9/22/20,716
218,9/23/20,720
219,9/24/20,700
220,9/25/20,710
221,9/26/20,716
222,9/27/20,646
223,9/28/20,639
224,9/29/20,626
225,9/30/20,604
226,10/1/20,661
227,10/2/20,613
228,10/3/20,606
229,10/4/20,625
230,10/5/20,657
231,10/6/20,690
232,10/7/20,726
