,date,hospitalized
1,2/19/20,0
2,2/20/20,0
3,2/21/20,0
4,2/22/20,0
5,2/23/20,0
6,2/24/20,0
7,2/25/20,0
8,2/26/20,0
9,2/27/20,0
10,2/28/20,0
11,2/29/20,0
12,3/1/20,0
13,3/2/20,0
14,3/3/20,0
15,3/4/20,0
16,3/5/20,0
17,3/6/20,0
18,3/7/20,0
19,3/8/20,0
20,3/9/20,0
21,3/10/20,0
22,3/11/20,0
23,3/12/20,0
24,3/13/20,0
25,3/14/20,0
26,3/15/20,0
27,3/16/20,0
28,3/17/20,0
29,3/18/20,0
30,3/19/20,0
31,3/20/20,0
32,3/21/20,0
33,3/22/20,0
34,3/23/20,0
35,3/24/20,0
36,3/25/20,0
37,3/26/20,0
38,3/27/20,0
39,3/28/20,0
40,3/29/20,0
41,3/30/20,0
42,3/31/20,0
43,4/1/20,0
44,4/2/20,0
45,4/3/20,276
46,4/4/20,301
47,4/5/20,306
48,4/6/20,265
49,4/7/20,339
50,4/8/20,358
51,4/9/20,363
52,4/10/20,356
53,4/11/20,306
54,4/12/20,239
55,4/13/20,378
56,4/14/20,365
57,4/15/20,336
58,4/16/20,355
59,4/17/20,260
60,4/18/20,368
61,4/19/20,324
62,4/20/20,318
63,4/21/20,321
64,4/22/20,313
65,4/23/20,299
66,4/24/20,305
67,4/25/20,302
68,4/26/20,320
69,4/27/20,303
70,4/28/20,287
71,4/29/20,282
72,4/30/20,308
73,5/1/20,261
74,5/2/20,206
75,5/3/20,274
76,5/4/20,275
77,5/5/20,283
78,5/6/20,255
79,5/7/20,259
80,5/8/20,250
81,5/9/20,265
82,5/10/20,224
83,5/11/20,256
84,5/12/20,236
85,5/13/20,261
86,5/14/20,241
87,5/15/20,253
88,5/16/20,242
89,5/17/20,256
90,5/18/20,285
91,5/19/20,298
92,5/20/20,317
93,5/21/20,308
94,5/22/20,233
95,5/23/20,274
96,5/24/20,266
97,5/25/20,262
98,5/26/20,251
99,5/27/20,273
100,5/28/20,297
101,5/29/20,264
102,5/30/20,269
103,5/31/20,273
104,6/1/20,317
105,6/2/20,323
106,6/3/20,304
