,date,hospitalized
1,4/3/20,398
2,4/4/20,511
3,4/5/20,459
4,4/6/20,489
5,4/7/20,553
6,4/8/20,523
7,4/9/20,621
8,4/10/20,577
9,4/11/20,524
10,4/12/20,395
11,4/13/20,557
12,4/14/20,557
13,4/15/20,507
14,4/16/20,447
15,4/17/20,414
16,4/18/20,522
17,4/19/20,495
18,4/20/20,544
19,4/21/20,513
20,4/22/20,553
21,4/23/20,528
22,4/24/20,514
23,4/25/20,493
24,4/26/20,480
25,4/27/20,523
26,4/28/20,573
27,4/29/20,476
28,4/30/20,517
29,5/1/20,517
30,5/2/20,384
31,5/3/20,466
32,5/4/20,567
33,5/5/20,539
34,5/6/20,467
35,5/7/20,450
36,5/8/20,466
37,5/9/20,487
38,5/10/20,400
39,5/11/20,409
40,5/12/20,466
41,5/13/20,411
42,5/14/20,448
43,5/15/20,553
44,5/16/20,416
45,5/17/20,417
46,5/18/20,448
47,5/19/20,518
48,5/20/20,496
49,5/21/20,455
50,5/22/20,368
51,5/23/20,449
52,5/24/20,439
53,5/25/20,433
54,5/26/20,437
55,5/27/20,427
56,5/28/20,449
57,5/29/20,475
58,5/30/20,409
59,5/31/20,463
60,6/1/20,520
61,6/2/20,543
62,6/3/20,578
63,6/4/20,575
64,6/5/20,509
65,6/6/20,564
66,6/7/20,572
67,6/8/20,619
68,6/9/20,658
69,6/10/20,646
70,6/11/20,681
71,6/12/20,703
72,6/13/20,744
73,6/14/20,784
74,6/15/20,824
75,6/16/20,933
76,6/17/20,983
77,6/18/20,1077
78,6/19/20,1050
79,6/20/20,1152
80,6/21/20,1130
81,6/22/20,1279
82,6/23/20,1479
83,6/24/20,1534
84,6/25/20,1676
85,6/26/20,1709
86,6/27/20,1768
87,6/28/20,1802
88,6/29/20,2021
89,6/30/20,2130
90,7/1/20,2060
91,7/2/20,2221
92,7/3/20,2137
93,7/4/20,2271
94,7/5/20,2380
95,7/6/20,2382
96,7/7/20,2672
97,7/8/20,2493
98,7/9/20,2624
99,7/10/20,2673
100,7/11/20,2613
101,7/12/20,2520
102,7/13/20,2581
103,7/14/20,2693
104,7/15/20,2676
105,7/16/20,2522
106,7/17/20,2488
107,7/18/20,2368
108,7/19/20,2315
109,7/20/20,2442
110,7/21/20,2400
111,7/22/20,2266
112,7/23/20,2236
113,7/24/20,2159
114,7/25/20,2096
115,7/26/20,1937
116,7/27/20,2032
117,7/28/20,2102
118,7/29/20,1964
119,7/30/20,1842
120,7/31/20,1663
121,8/1/20,1625
122,8/2/20,1575
123,8/3/20,1519
124,8/4/20,1615
125,8/5/20,1560
126,8/6/20,1545
127,8/7/20,1540
128,8/8/20,1405
129,8/9/20,1308
130,8/10/20,1269
